entry_time,exit_time,direction,entry_price,exit_price,size,gross_pnl,costs,net_pnl,net_pnl_eur,capital_eur
2026-03-09 09:00:44.303391,2026-03-09 10:00:59.489478,SHORT,1.15357,1.15539,20000,-36.40,4.00,-40.40,-34.97,953258.78
2026-03-09 10:01:00.992185,2026-03-09 19:00:15.547089,LONG,1.15538,1.15757,20000,43.80,4.00,39.80,34.38,953293.17
2026-03-09 19:00:17.050535,2026-03-09 19:20:22.308205,SHORT,1.15758,1.16095,20000,-67.40,4.00,-71.40,-61.50,953231.66
,2026-03-09 23:29:14,DAILY_SNAPSHOT,,,,,,,-62.09,953231.66
2026-03-09 19:20:23.811532,2026-03-09 23:45:32.353373,LONG (IB reconcile),1.16061,1.16301,20000,48.10,4.00,44.10,37.92,953269.58
2026-03-10 06:06:04.199482,2026-03-10 18:31:00.474685,LONG,1.16224,1.16334,20000,22.00,4.00,18.00,15.47,953285.06
,2026-03-10 23:29:11,DAILY_SNAPSHOT,,,,,,,-8.69,953285.06
2026-03-10 18:31:01.979879,2026-03-10 23:45:34.973377,SHORT (IB reconcile),1.16334,1.16106,20000,45.60,4.00,41.60,35.83,953320.89
,2026-03-11 23:29:10,DAILY_SNAPSHOT,,,,,,,27.14,953320.89
2026-03-11 07:50:32.567039,2026-03-11 23:45:34.637472,SHORT (IB reconcile),1.16209,1.15465,20000,148.80,4.00,144.80,125.41,953446.29
,2026-03-12 23:29:14,DAILY_SNAPSHOT,,,,,,,152.54,953446.29
2026-03-12 06:25:09.150387,2026-03-12 23:45:31.913511,LONG (IB reconcile),1.15469,1.15156,20000,-62.60,4.00,-66.60,-57.83,953388.46
2026-03-13 12:00:26.421630,2026-03-13 16:00:23.765889,LONG,1.14683,1.14433,20000,-50.00,4.00,-54.00,-47.19,953341.27
