sma_fast,sma_slow,rsi_lower,rsi_upper,momentum_threshold,total_return_pct,sharpe_ratio,max_drawdown_pct,win_rate,profit_factor,num_trades,avg_trade_pnl,final_capital,timeframe
15,40,25,65,0.0,-4.067499999999891,-4.378853818046649,-4.758066923375377,0.31891891891891894,0.8104052667578687,185,-2.3972972972972584,19186.500000000022,5min
15,40,25,65,5e-05,-3.9184999999998764,-4.223763984925701,-4.854060598842775,0.3220338983050847,0.813692334373922,177,-2.4276836158191255,19216.300000000025,5min
15,40,25,65,0.0001,-4.318499999999912,-4.6588423452894405,-5.251039588729771,0.35714285714285715,0.7721108999827293,168,-3.1410714285713706,19136.300000000017,5min
15,40,25,70,0.0,-6.642499999999836,-7.14480093438963,-7.364954279971572,0.2964824120603015,0.6591575091575143,199,-4.675879396984825,18671.500000000033,5min
15,40,25,70,5e-05,-6.427499999999836,-6.923654248138423,-7.388771449270905,0.29842931937172773,0.6633755588673694,191,-4.730366492146465,18714.500000000033,5min
15,40,25,70,0.0001,-6.763499999999895,-7.28895940250663,-7.72223380077601,0.32967032967032966,0.631137143709898,182,-5.432417582417497,18647.30000000002,5min
15,40,25,75,0.0,-6.825499999999921,-7.324788449060203,-7.4747696030350435,0.2975609756097561,0.6550864901953698,205,-4.659024390243904,18634.900000000016,5min
15,40,25,75,5e-05,-6.610499999999921,-7.104493380944228,-7.49832393911549,0.29949238578680204,0.6591752047299048,197,-4.711167512690332,18677.900000000016,5min
15,40,25,75,0.0001,-6.906499999999996,-7.426664048854212,-7.792317433516283,0.32978723404255317,0.629791935186888,188,-5.347340425531946,18618.7,5min
15,40,30,65,0.0,-4.157499999999927,-4.482069136921663,-4.867516392545488,0.30726256983240224,0.7964403937921839,179,-2.6452513966480535,19168.500000000015,5min
15,40,30,65,5e-05,-4.008499999999913,-4.326944821743843,-4.963229821061725,0.30994152046783624,0.799546505036413,171,-2.688304093567216,19198.300000000017,5min
15,40,30,65,0.0001,-4.483499999999931,-4.8425550060826055,-5.434642371552509,0.3395061728395062,0.7525813280338707,162,-3.535185185185182,19103.300000000014,5min
15,40,30,70,0.0,-6.672499999999873,-7.189588340927785,-7.394804135199812,0.29015544041450775,0.6490806171149532,193,-4.9145077720206745,18665.500000000025,5min
15,40,30,70,5e-05,-6.4574999999998735,-6.968109760704695,-7.418544873512463,0.2918918918918919,0.6531672249614258,185,-4.9810810810809985,18708.500000000025,5min
15,40,30,70,0.0001,-6.868499999999912,-7.412908292577633,-7.826440785621355,0.3181818181818182,0.616694803976741,176,-5.805113636363609,18626.300000000017,5min
15,40,30,75,0.0,-6.855499999999956,-7.36984185526276,-7.50464279135068,0.2914572864321608,0.645113056163381,199,-4.889949748743771,18628.90000000001,5min
15,40,30,75,5e-05,-6.640499999999956,-7.149214600964384,-7.528120577061545,0.2931937172774869,0.6490727002967345,191,-4.9534031413612825,18671.90000000001,5min
15,40,30,75,0.0001,-7.011500000000015,-7.5505721340964165,-7.896605666327365,0.31868131868131866,0.6155298822483845,182,-5.704945054945146,18597.699999999997,5min
15,40,35,65,0.0,-3.9604999999999384,-4.265645715910647,-4.6875000000000275,0.3072289156626506,0.7955383726614217,166,-2.771686746987977,19207.900000000012,5min
15,40,35,65,5e-05,-3.704499999999934,-3.99554867256848,-4.778678520752961,0.31645569620253167,0.8083100243616358,158,-2.689240506329104,19259.100000000013,5min
15,40,35,65,0.0001,-4.211499999999924,-4.54485311462556,-5.281749536122911,0.348993288590604,0.7571390326610736,149,-3.6530201342281985,19157.700000000015,5min
15,40,35,70,0.0,-6.131499999999887,-6.595364825491394,-6.9077637029953936,0.2833333333333333,0.6590443954659966,180,-4.812777777777749,18773.700000000023,5min
15,40,35,70,5e-05,-5.809499999999898,-6.260074166869393,-6.925412528154992,0.29069767441860467,0.6720397770560197,172,-4.755232558139485,18838.10000000002,5min
15,40,35,70,0.0001,-6.25249999999991,-6.737396749551676,-7.364979510026585,0.31901840490797545,0.6310412260047094,163,-5.671779141104292,18749.50000000002,5min
15,40,35,75,0.0,-6.314499999999971,-6.776720331272364,-7.0173165566213545,0.2849462365591398,0.6546765378502997,186,-4.789784946236643,18737.100000000006,5min
15,40,35,75,5e-05,-5.992499999999982,-6.442663069351737,-7.034582061021305,0.29213483146067415,0.6673904461113268,178,-4.733146067415797,18801.500000000004,5min
