sma_fast,sma_slow,rsi_lower,rsi_upper,momentum_threshold,total_return_pct,sharpe_ratio,max_drawdown_pct,win_rate,profit_factor,num_trades,avg_trade_pnl,final_capital,timeframe
15,40,25,65,0.0,-42.89700000000012,-0.8650187520949122,-46.617372338448696,0.41509433962264153,0.6278655910053286,106,-38.46886792452841,5710.299999999988,4H
15,40,25,65,5e-05,-42.8570000000001,-0.8642238076035554,-46.57824985573593,0.41904761904761906,0.6279802110336257,105,-38.816190476190584,5714.29999999999,4H
15,40,25,65,0.0001,-43.22300000000012,-0.8709792699023554,-46.936220572557644,0.41346153846153844,0.6251514682167283,104,-39.560576923077036,5677.699999999988,4H
15,40,25,70,0.0,-44.123000000000204,-0.8704244829961865,-46.86015358106849,0.4017094017094017,0.6409870857427612,117,-35.71196581196603,5587.69999999998,4H
15,40,25,70,5e-05,-44.0830000000002,-0.8696648512177988,-46.82031413404001,0.4051724137931034,0.641097256000617,116,-36.00258620689676,5591.69999999998,4H
15,40,25,70,0.0001,-44.449000000000204,-0.8761251579084295,-47.18484507435056,0.4,0.638410857368356,115,-36.651304347826304,5555.099999999979,4H
15,40,25,75,0.0,-38.36100000000001,-0.7148296382325091,-41.01371472963956,0.390625,0.7010280007014779,128,-27.969531250000085,6163.899999999999,4H
15,40,25,75,5e-05,-36.693000000000005,-0.6830416245046032,-39.35240978855213,0.3937007874015748,0.71279002295796,127,-26.892125984252058,6330.7,4H
15,40,25,75,0.0001,-37.059000000000005,-0.6895838533884348,-39.71694072886268,0.3888888888888889,0.7100389536250369,126,-27.411904761904847,6294.099999999999,4H
15,40,30,65,0.0,-43.88300000000007,-0.8826801671034865,-47.58174153731801,0.39805825242718446,0.6166509317225632,103,-40.60485436893212,5611.699999999993,4H
15,40,30,65,5e-05,-43.84300000000007,-0.8818952400507654,-47.542619054605254,0.4019607843137255,0.6167639967363098,102,-40.983333333333405,5615.699999999993,4H
15,40,30,65,0.0001,-44.20900000000007,-0.8885396767302507,-47.90058977142695,0.39603960396039606,0.6139437418788083,101,-41.771287128712956,5579.099999999993,4H
15,40,30,70,0.0,-45.10900000000017,-0.8873059584929343,-47.84219595032037,0.38596491228070173,0.6304850482287356,114,-37.56929824561422,5489.099999999983,4H
15,40,30,70,5e-05,-45.06900000000017,-0.8865576024495523,-47.80235650329189,0.3893805309734513,0.6305938594825936,113,-37.884070796460364,5493.099999999983,4H
15,40,30,70,0.0001,-45.43500000000015,-0.8928972153551703,-48.16688744360243,0.38392857142857145,0.6279147895149396,112,-38.566964285714484,5456.4999999999845,4H
15,40,30,75,0.0,-42.57100000000005,-0.7909134537720417,-45.206816529386614,0.376,0.6685114409093152,125,-32.056800000000116,5742.899999999995,4H
15,40,30,75,5e-05,-40.90300000000004,-0.7608595828919246,-43.545511588299185,0.3790322580645161,0.6799363587898162,124,-30.986290322580764,5909.699999999996,4H
15,40,30,75,0.0001,-41.26900000000005,-0.7670091895639807,-43.910042528609736,0.37398373983739835,0.6772667171166965,123,-31.55203252032532,5873.099999999996,4H
15,40,35,65,0.0,-39.62300000000003,-0.7755393302259778,-44.27738983867088,0.40229885057471265,0.6036182145398231,87,-43.54367816091959,6037.699999999996,4H
15,40,35,65,5e-05,-39.58300000000004,-0.7747723910082452,-44.23886347218882,0.4069767441860465,0.6037445579370393,86,-44.026744186046564,6041.699999999996,4H
15,40,35,65,0.0001,-39.94900000000004,-0.7812481879088224,-44.59137972549968,0.4,0.6005534959009972,85,-44.9988235294118,6005.099999999996,4H
15,40,35,70,0.0,-39.169000000000125,-0.7007719321141431,-44.06869740662378,0.3877551020408163,0.6317544831954385,98,-37.96836734693892,6083.099999999988,4H
15,40,35,70,5e-05,-39.129000000000126,-0.7000835045682985,-44.02932926529214,0.3917525773195876,0.6318795533734546,97,-38.339175257732094,6087.099999999988,4H
15,40,35,70,0.0001,-39.49500000000013,-0.7058661741028944,-44.38954775847654,0.3854166666666667,0.6288045679512371,96,-39.14062500000012,6050.499999999987,4H
15,40,35,75,0.0,-25.76300000000003,-0.43573323809916276,-37.84079161128327,0.4036697247706422,0.7586330419830911,109,-21.63577981651386,7423.699999999997,4H
