sma_fast,sma_slow,rsi_lower,rsi_upper,momentum_threshold,total_return_pct,sharpe_ratio,max_drawdown_pct,win_rate,profit_factor,num_trades,avg_trade_pnl,final_capital,timeframe
15,40,25,65,0.0,-8.134999999999836,-4.322971411229751,-9.468744431023811,0.31891891891891894,0.8104052667578687,185,-2.3972972972972584,9186.500000000016,5min
15,40,25,65,5e-05,-7.836999999999771,-4.171500768698546,-9.635349973404713,0.3220338983050847,0.813692334373922,177,-2.4276836158191255,9216.300000000023,5min
15,40,25,65,0.0001,-8.636999999999807,-4.603047486682837,-10.423356513859034,0.35714285714285715,0.7721108999827293,168,-3.1410714285713706,9136.30000000002,5min
15,40,25,70,0.0,-13.2849999999998,-7.048164812960303,-14.656555056135034,0.2964824120603015,0.6591575091575143,199,-4.675879396984825,8671.50000000002,5min
15,40,25,70,5e-05,-12.854999999999727,-6.835581820670148,-14.666771734205158,0.29842931937172773,0.6633755588673694,191,-4.730366492146465,8714.500000000027,5min
15,40,25,70,0.0001,-13.526999999999806,-7.195333276248669,-15.328697228186835,0.32967032967032966,0.631137143709898,182,-5.432417582417497,8647.30000000002,5min
15,40,25,75,0.0,-13.651000000000005,-7.215652265735882,-14.886612658529053,0.2975609756097561,0.6550864901953698,205,-4.659024390243904,8634.9,5min
15,40,25,75,5e-05,-13.22099999999993,-7.004477022408083,-14.895674049228012,0.29949238578680204,0.6591752047299048,197,-4.711167512690332,8677.900000000007,5min
15,40,25,75,0.0001,-13.813000000000011,-7.322002272309137,-15.479702066788391,0.32978723404255317,0.629791935186888,188,-5.347340425531946,8618.699999999999,5min
15,40,30,65,0.0,-8.314999999999946,-4.431241825131647,-9.68655327406293,0.30726256983240224,0.7964403937921839,179,-2.6452513966480535,9168.500000000005,5min
15,40,30,65,5e-05,-8.016999999999843,-4.279611050243183,-9.852051772029712,0.30994152046783624,0.799546505036413,171,-2.688304093567216,9198.300000000016,5min
15,40,30,65,0.0001,-8.966999999999917,-4.790925102465686,-10.78780953881923,0.3395061728395062,0.7525813280338707,162,-3.535185185185182,9103.300000000008,5min
15,40,30,70,0.0,-13.34499999999991,-7.102633680915277,-14.715957467873059,0.29015544041450775,0.6490806171149532,193,-4.9145077720206745,8665.50000000001,5min
15,40,30,70,5e-05,-12.914999999999836,-6.8894080165378995,-14.725872224739337,0.2918918918918919,0.6531672249614258,185,-4.9810810810809985,8708.500000000016,5min
15,40,30,70,0.0001,-13.736999999999917,-7.3269570326105615,-15.535548945056194,0.3181818181818182,0.616694803976741,176,-5.805113636363609,8626.300000000008,5min
15,40,30,75,0.0,-13.711000000000112,-7.270687828916479,-14.946107546926669,0.2914572864321608,0.645113056163381,199,-4.889949748743771,8628.899999999989,5min
15,40,30,75,5e-05,-13.28100000000004,-7.058865817906522,-14.954866078034906,0.2931937172774869,0.6490727002967345,191,-4.9534031413612825,8671.899999999996,5min
15,40,30,75,0.0001,-14.023000000000158,-7.4536709575361435,-15.686874167612292,0.31868131868131866,0.6155298822483845,182,-5.704945054945146,8597.699999999984,5min
15,40,35,65,0.0,-7.920999999999985,-4.209648820393341,-9.336321802602475,0.3072289156626506,0.7955383726614217,166,-2.771686746987977,9207.900000000001,5min
15,40,35,65,5e-05,-7.408999999999942,-3.9457031180988644,-9.483862074398035,0.31645569620253167,0.8083100243616358,158,-2.689240506329104,9259.100000000006,5min
15,40,35,65,0.0001,-8.422999999999957,-4.489945051463423,-10.482266989622264,0.348993288590604,0.7571390326610736,149,-3.6530201342281985,9157.700000000004,5min
15,40,35,70,0.0,-12.262999999999993,-6.493473739640621,-13.758529038400436,0.2833333333333333,0.6590443954659966,180,-4.812777777777749,8773.7,5min
15,40,35,70,5e-05,-11.618999999999941,-6.171135304422646,-13.744313818160276,0.29069767441860467,0.6720397770560197,172,-4.755232558139485,8838.100000000006,5min
15,40,35,70,0.0001,-12.504999999999999,-6.6394877304622835,-14.616687343691535,0.31901840490797545,0.6310412260047094,163,-5.671779141104292,8749.5,5min
15,40,35,75,0.0,-12.629000000000195,-6.662854578230373,-13.987583809287448,0.2849462365591398,0.6546765378502997,186,-4.789784946236643,8737.09999999998,5min
15,40,35,75,5e-05,-11.985000000000145,-6.342605259631477,-13.971697648045117,0.29213483146067415,0.6673904461113268,178,-4.733146067415797,8801.499999999985,5min
