date,open,high,low,close,volume
2023-02-12 17:15:00-05:00,1.06825,1.06825,1.06716,1.067735,-1.0
2023-02-12 19:00:00-05:00,1.067735,1.067905,1.065565,1.06608,-1.0
2023-02-12 23:00:00-05:00,1.06608,1.068995,1.06607,1.06831,-1.0
2023-02-13 03:00:00-05:00,1.06831,1.06856,1.066325,1.067585,-1.0
2023-02-13 07:00:00-05:00,1.067585,1.072755,1.067385,1.071975,-1.0
2023-02-13 11:00:00-05:00,1.071975,1.072995,1.071025,1.071725,-1.0
2023-02-13 15:00:00-05:00,1.071725,1.07254,1.071405,1.07232,-1.0
2023-02-13 17:15:00-05:00,1.07215,1.07325,1.07209,1.07311,-1.0
2023-02-13 19:00:00-05:00,1.07311,1.073695,1.072545,1.073455,-1.0
2023-02-13 23:00:00-05:00,1.073455,1.074665,1.072875,1.0732,-1.0
2023-02-14 03:00:00-05:00,1.0732,1.076705,1.0729,1.075525,-1.0
2023-02-14 07:00:00-05:00,1.075525,1.08047,1.07067,1.07158,-1.0
2023-02-14 11:00:00-05:00,1.07158,1.07456,1.071255,1.073945,-1.0
2023-02-14 15:00:00-05:00,1.073945,1.07424,1.073235,1.07368,-1.0
2023-02-14 17:15:00-05:00,1.073475,1.07398,1.07334,1.07352,-1.0
2023-02-14 19:00:00-05:00,1.07352,1.07446,1.07171,1.07182,-1.0
2023-02-14 23:00:00-05:00,1.07182,1.07212,1.070005,1.07082,-1.0
2023-02-15 03:00:00-05:00,1.07082,1.073305,1.070485,1.071105,-1.0
2023-02-15 07:00:00-05:00,1.071105,1.07183,1.066505,1.067595,-1.0
2023-02-15 11:00:00-05:00,1.067595,1.06878,1.066055,1.068095,-1.0
2023-02-15 15:00:00-05:00,1.068095,1.06915,1.067975,1.068735,-1.0
2023-02-15 17:15:00-05:00,1.069075,1.069235,1.06845,1.069145,-1.0
2023-02-15 19:00:00-05:00,1.069145,1.071495,1.06847,1.07096,-1.0
2023-02-15 23:00:00-05:00,1.07096,1.07106,1.06963,1.070895,-1.0
2023-02-16 03:00:00-05:00,1.070895,1.072255,1.068895,1.070525,-1.0
2023-02-16 07:00:00-05:00,1.070525,1.07088,1.06547,1.067325,-1.0
2023-02-16 11:00:00-05:00,1.067325,1.069755,1.06684,1.069035,-1.0
2023-02-16 15:00:00-05:00,1.069035,1.06917,1.066935,1.067385,-1.0
2023-02-16 17:15:00-05:00,1.0675,1.06758,1.06624,1.06655,-1.0
2023-02-16 19:00:00-05:00,1.06655,1.066575,1.06488,1.065275,-1.0
2023-02-16 23:00:00-05:00,1.065275,1.065315,1.062955,1.064395,-1.0
2023-02-17 03:00:00-05:00,1.064395,1.066145,1.062375,1.06257,-1.0
2023-02-17 07:00:00-05:00,1.06257,1.06823,1.061285,1.066225,-1.0
2023-02-17 11:00:00-05:00,1.066225,1.069695,1.06569,1.06964,-1.0
2023-02-17 15:00:00-05:00,1.06964,1.06985,1.069275,1.06949,-1.0
2023-02-19 17:15:00-05:00,1.06906,1.06946,1.06824,1.068415,-1.0
2023-02-19 19:00:00-05:00,1.068415,1.068675,1.06732,1.06818,-1.0
2023-02-19 23:00:00-05:00,1.06818,1.070375,1.068155,1.07018,-1.0
2023-02-20 03:00:00-05:00,1.07018,1.07046,1.06782,1.068525,-1.0
