date,open,high,low,close,volume
2025-12-29 17:15:00-05:00,1.177,1.177095,1.176995,1.177015,-1.0
2025-12-29 17:20:00-05:00,1.177015,1.177015,1.177015,1.177015,-1.0
2025-12-29 17:25:00-05:00,1.177015,1.177015,1.177015,1.177015,-1.0
2025-12-29 17:30:00-05:00,1.177015,1.177255,1.177015,1.177175,-1.0
2025-12-29 17:35:00-05:00,1.177175,1.17724,1.177115,1.177125,-1.0
2025-12-29 17:40:00-05:00,1.177125,1.177285,1.17706,1.17726,-1.0
2025-12-29 17:45:00-05:00,1.17726,1.177285,1.17713,1.177215,-1.0
2025-12-29 17:50:00-05:00,1.177215,1.17724,1.17711,1.17711,-1.0
2025-12-29 17:55:00-05:00,1.17711,1.177125,1.17663,1.1768,-1.0
2025-12-29 18:00:00-05:00,1.1768,1.17734,1.176745,1.177225,-1.0
2025-12-29 18:05:00-05:00,1.177225,1.177475,1.1772,1.17747,-1.0
2025-12-29 18:10:00-05:00,1.17747,1.17747,1.17737,1.17738,-1.0
2025-12-29 18:15:00-05:00,1.17738,1.177425,1.17731,1.177355,-1.0
2025-12-29 18:20:00-05:00,1.177355,1.177355,1.177235,1.177265,-1.0
2025-12-29 18:25:00-05:00,1.177265,1.177265,1.177165,1.17718,-1.0
2025-12-29 18:30:00-05:00,1.17718,1.17726,1.17718,1.17718,-1.0
2025-12-29 18:35:00-05:00,1.17718,1.177205,1.17714,1.17718,-1.0
2025-12-29 18:40:00-05:00,1.17718,1.177235,1.17716,1.177185,-1.0
2025-12-29 18:45:00-05:00,1.177185,1.177265,1.17716,1.177265,-1.0
2025-12-29 18:50:00-05:00,1.177265,1.177265,1.17714,1.177195,-1.0
2025-12-29 18:55:00-05:00,1.177195,1.177265,1.177195,1.177245,-1.0
2025-12-29 19:00:00-05:00,1.177245,1.177405,1.177175,1.1773,-1.0
2025-12-29 19:05:00-05:00,1.1773,1.17746,1.1773,1.177455,-1.0
2025-12-29 19:10:00-05:00,1.177455,1.177455,1.17734,1.17734,-1.0
2025-12-29 19:15:00-05:00,1.17734,1.17741,1.177315,1.17739,-1.0
2025-12-29 19:20:00-05:00,1.17739,1.17747,1.177365,1.177455,-1.0
2025-12-29 19:25:00-05:00,1.177455,1.17748,1.17742,1.17745,-1.0
