Timeframe,Bars,Signals,Trades,Return (%),Sharpe,Max DD (%),Win Rate (%),Profit Factor
5min,8372,8372,139,-3.11,-3.36,-4.15,33.8,0.83
4H,5421,5421,76,-20.79,-0.93,-24.57,38.2,0.58
1D,776,776,3,-20.78,-1.03,-23.0,0.0,0.0
